                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0751,                   3.48,                 4.2493,                0.01431,                      1,                0.03849,                0.01102,                 2.6797,                 3.8802,                 4.1602,             0.00011669,             0.00011669,             0.00011669
                      2,                 3.0253,                 3.3765,                 4.1965,                0.01303,                      1,                0.34248,                0.07042,                 2.6899,                 3.8643,                 4.1583,             0.00024757,             0.00024757,             0.00024757
                      3,                 3.0696,                 3.3188,                 4.1444,                0.01375,                      1,                0.08457,                0.01588,                 2.7087,                 3.8472,                 4.1541,             0.00037582,             0.00037582,             0.00037582
                      4,                 3.0629,                 3.2608,                 4.1307,                0.00574,                      1,                0.05148,                0.01154,                 2.7671,                 3.8324,                 4.1541,             0.00050142,             0.00050142,             0.00050142
                      5,                 2.9719,                 3.1789,                 4.0774,                0.00551,                      1,                0.09958,                0.01662,                 2.8283,                 3.7445,                 4.1484,             0.00062438,             0.00062438,             0.00062438
                      6,                 2.8477,                 3.1757,                 4.0325,                0.00458,                      1,                0.13997,                0.02697,                 2.8398,                 3.5912,                 4.1105,             0.00074471,             0.00074471,             0.00074471
                      7,                 2.9844,                 3.0667,                 3.9693,                0.01974,                      1,                0.26249,                0.05176,                 2.8201,                 5.3132,                 4.0123,             0.00086239,             0.00086239,             0.00086239
                      8,                 2.9108,                 2.9938,                 3.8274,                0.02251,                      1,                0.12009,                 0.0202,                 2.9048,                 6.9242,                 3.9551,             0.00097743,             0.00097743,             0.00097743
                      9,                 2.8605,                 2.9402,                 3.7365,                0.02524,                      1,                 0.1222,                0.01759,                 3.0796,                 14.132,                 4.7579,              0.0010898,              0.0010898,              0.0010898
                     10,                 2.7803,                 2.8356,                 3.6094,                0.02804,                      1,                0.08816,                0.01507,                  2.964,                 10.814,                 4.7543,              0.0011996,              0.0011996,              0.0011996
                     11,                 2.7081,                 2.8357,                 3.5566,                 0.0322,                      1,                 0.1688,                0.04207,                  2.399,                 15.355,                  4.406,              0.0013067,              0.0013067,              0.0013067
                     12,                 2.6347,                 2.8227,                 3.4573,                0.06923,                0.82787,                0.19972,                0.07723,                 1.9428,                 6.1554,                 3.7971,              0.0014112,              0.0014112,              0.0014112
                     13,                 2.6686,                  2.749,                  3.418,                0.12941,                 0.7377,                 0.2312,                0.09061,                 1.8826,                 6.1428,                 3.9476,               0.001469,               0.001469,               0.001469
                     14,                 2.4316,                 2.6514,                 3.2902,                0.11207,                 0.7623,                0.20698,                 0.0737,                 1.9272,                 5.9027,                 3.6088,               0.001469,               0.001469,               0.001469
